pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_orbeccen,pl_insol,pl_eqt,ttv_flag,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_logg,rastr,ra,decstr,dec,sy_dist,sy_vmag,sy_kmag,sy_gaiamag,rowupdate,pl_pubdate,releasedate
TOI-1268 b,TOI-1268,1,1,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,8.15770940,0.071100,9.100,0.812,96.40000,0.30331,Mass,0.105000,,919,0,K1-K2,5300.00,0.92,0.96,0.360,[Fe/H],4.55,13h13m33.26s,198.3885831,+62d18m19.37s,62.3053799,109.5570000,10.9200000,8.9110000,10.6920000,2022-03-28,2022-01,2022-03-28
TOI-1272 b,TOI-1272,1,1,2,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,3.31599000,0.041200,4.140,0.369,24.60000,0.07740,Mass,0.338000,,961,0,,4985.00,0.79,0.85,0.170,[Fe/H],4.55,13h16m47.09s,199.1962036,+49d51m39.81s,49.8610591,137.5720000,11.7580000,9.7010000,11.6000000,2022-07-12,2022-06,2022-07-12
TOI-1273 b,TOI-1273,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,4.63129600,0.054900,11.097,0.990,70.55791,0.22200,Mass,0.055000,,1211,0,,5690.00,1.06,1.06,0.070,[Fe/H],4.37,14h16m29.01s,214.1208564,+58d23m24.91s,58.3902534,177.1180000,10.9800000,9.4170000,10.8662000,2024-03-05,2024-02,2024-03-05
TOI-1278 b,TOI-1278,1,1,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,14.47567000,0.095000,12.218,1.090,5879.82553,18.50000,Mass,0.013000,,,0,M0 V,3799.00,0.57,0.54,-0.010,[Fe/H],4.68,21h21m54.83s,320.4784442,+35d38m55.05s,35.6486250,75.5759000,13.5020000,9.7350000,12.7543000,2021-08-03,2021-10,2021-08-03
TOI-1288 b,TOI-1288,1,1,2,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,2.69983500,,5.240,0.467,42.00000,0.13215,Mass,0.064000,,1266,0,G V,5225.00,1.01,0.89,0.070,[Fe/H],4.24,20h52m40.09s,313.1670294,+65d36m31.62s,65.6087833,114.8650000,10.4450000,8.7790000,10.4468000,2023-01-04,2022-12,2023-01-04
TOI-1296 b,TOI-1296,1,1,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,3.94437150,0.049700,13.798,1.231,94.71287,0.29800,Mass,0.055000,,1562,0,,5603.00,1.66,1.17,0.440,[Fe/H],4.05,17h07m04.95s,256.7706392,+70d14m18.53s,70.2384806,323.2650000,11.3700000,9.7420000,11.2912000,2021-10-19,2021-09,2021-10-19
TOI-1298 b,TOI-1298,1,1,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,4.53716400,0.059000,9.427,0.841,113.14691,0.35600,Mass,0.032000,,1388,0,,5889.00,1.41,1.44,0.490,[Fe/H],4.39,16h05m17.50s,241.3229012,+70d11m24.14s,70.1900397,319.0360000,11.8890000,10.0120000,11.4038000,2021-10-19,2021-09,2021-10-19
TOI-132 b,TOI-132,1,1,1,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,2.10970190,0.026000,3.420,0.305,22.40000,0.07048,Mass,0.059000,860.00,1395,0,G8 V,5397.00,0.90,0.97,0.160,[Fe/H],4.48,22h33m35.92s,338.3996623,-43d26m12.74s,-43.4368720,163.6780000,11.1970000,9.6460000,11.3208000,2020-02-21,2020-03,2020-02-27
TOI-1333 b,TOI-1333,1,2,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,4.72021900,0.062600,15.648,1.396,753.25710,2.37000,Mass,0.073000,,1679,0,,6274.00,1.93,1.46,0.119,[Fe/H],4.03,21h40m03.49s,325.0145363,+48d24m24.36s,48.4067674,200.4920000,9.4380000,8.2720000,9.3503900,2021-02-25,2021-04,2021-03-04
TOI-1338 b,TOI-1338 A,1,2,2,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,95.17400000,0.460700,6.850,0.611,33.00000,0.10383,Mass,0.088000,,,0,,6050.00,1.33,1.13,0.010,[Fe/H],4.00,06h08m31.94s,92.1330955,-59d32m27.55s,-59.5409853,399.0170000,11.7220000,10.6350000,11.8764000,2020-05-29,2020-06,2020-06-04
